Address,Bed Type,Price,Link
"1516 W 78th Street, 1516 W 78th St #3B, Chicago, IL 60620",2 Bed,"$1,180",https://www.zillow.com/apartments/chicago-il/1516-w-78th-street/9RzfVm/
"5427-29 S. University Ave., 5427-29 S University Ave #5427-A3, Chicago, IL 60615",2 Bed,"$2,150",https://www.zillow.com/apartments/chicago-il/5427.dash.29-s.-university-ave./BWJMCH/
"540 N State St, Chicago, IL",Studio,"$2,243",https://www.zillow.com/apartments/chicago-il/grand-plaza/5Xgyyd/
"540 N State St, Chicago, IL",1 Bed,"$2,503",https://www.zillow.com/apartments/chicago-il/grand-plaza/5Xgyyd/
"540 N State St, Chicago, IL",2 Bed,"$2,600",https://www.zillow.com/apartments/chicago-il/grand-plaza/5Xgyyd/
"6720 N. Sheridan, 6720 N Sheridan Rd, Chicago, IL 60626",Studio,"$5,000",https://www.zillow.com/apartments/chicago-il/6720-n.-sheridan/Brx7/
"Optima Lakeview | 3478 N Broadway St, Chicago, IL",1 Bed,"$2,775",https://www.zillow.com/apartments/chicago-il/optima-lakeview/BMfHjs/
"Optima Lakeview | 3478 N Broadway St, Chicago, IL",2 Bed,"$4,500",https://www.zillow.com/apartments/chicago-il/optima-lakeview/BMfHjs/
"2104-24 W. Farragut Ave., 2104 W Farragut Ave #2116-A1, Chicago, IL 60625",1 Bed,"$1,295",https://www.zillow.com/apartments/chicago-il/2104.dash.24-w.-farragut-ave./5Xh4FR/
"1101 W. Columbia, 1101 W Columbia Ave, Chicago, IL 60626",Studio,"$5,000",https://www.zillow.com/apartments/chicago-il/1101-w.-columbia/5XdnMR/
"Trailhead | 1744 N Western Ave, Chicago, IL",1 Bed,"$2,397",https://www.zillow.com/apartments/chicago-il/trailhead/9S5L4t/
"Foundry | 1475 N Kingsbury St, Chicago, IL",Studio,"$2,279",https://www.zillow.com/apartments/chicago-il/foundry/C76jxC/
"Foundry | 1475 N Kingsbury St, Chicago, IL",1 Bed,"$2,499",https://www.zillow.com/apartments/chicago-il/foundry/C76jxC/
"Foundry | 1475 N Kingsbury St, Chicago, IL",2 Bed,"$3,995",https://www.zillow.com/apartments/chicago-il/foundry/C76jxC/
"1837 W. Patterson, 1837 W Patterson Ave, Chicago, IL 60613",Studio,"$5,000",https://www.zillow.com/apartments/chicago-il/1837-w.-patterson/5XcfXr/
"1647 N. Milwaukee, 1647 N Milwaukee Ave #205, Chicago, IL 60647",1 Bed,"$2,650",https://www.zillow.com/apartments/chicago-il/1647-n.-milwaukee/BgtT/
"Linkt Apartments | 830 N Milwaukee Ave, Chicago, IL",1 Bed,"$2,196",https://www.zillow.com/apartments/chicago-il/linkt-apartments/9S4np6/
"Linkt Apartments | 830 N Milwaukee Ave, Chicago, IL",2 Bed,"$2,825",https://www.zillow.com/apartments/chicago-il/linkt-apartments/9S4np6/
"State & Chestnut | 845 N State St, Chicago, IL",Studio,"$2,265",https://www.zillow.com/apartments/chicago-il/state-%26-chestnut/Cfnb/
"State & Chestnut | 845 N State St, Chicago, IL",1 Bed,"$2,571",https://www.zillow.com/apartments/chicago-il/state-%26-chestnut/Cfnb/
"State & Chestnut | 845 N State St, Chicago, IL",2 Bed,"$4,385",https://www.zillow.com/apartments/chicago-il/state-%26-chestnut/Cfnb/
"ELEVEN THIRTY | 1130 S Michigan Ave, Chicago, IL",Studio,"$1,509",https://www.zillow.com/apartments/chicago-il/eleven-thirty/5XhRHz/
"ELEVEN THIRTY | 1130 S Michigan Ave, Chicago, IL",1 Bed,"$1,879",https://www.zillow.com/apartments/chicago-il/eleven-thirty/5XhRHz/
"ELEVEN THIRTY | 1130 S Michigan Ave, Chicago, IL",2 Bed,"$2,966",https://www.zillow.com/apartments/chicago-il/eleven-thirty/5XhRHz/
"Nevele 22 | 1122 W Chicago Ave, Chicago, IL",Studio,"$1,900",https://www.zillow.com/apartments/chicago-il/nevele-22/9hjv2P/
"Nevele 22 | 1122 W Chicago Ave, Chicago, IL",1 Bed,"$2,270",https://www.zillow.com/apartments/chicago-il/nevele-22/9hjv2P/
"Nevele 22 | 1122 W Chicago Ave, Chicago, IL",2 Bed,"$3,225",https://www.zillow.com/apartments/chicago-il/nevele-22/9hjv2P/
"4423 North Sheridan Road | 4423 N Sheridan Rd, Chicago, IL",Studio,"$1,050",https://www.zillow.com/apartments/chicago-il/4423-north-sheridan-road/5XjMmj/
"Anderson Point | 5700 N Ashland Ave, Chicago, IL",1 Bed,"$1,850",https://www.zillow.com/apartments/chicago-il/anderson-point/CPx9/
"Anderson Point | 5700 N Ashland Ave, Chicago, IL",2 Bed,"$2,550",https://www.zillow.com/apartments/chicago-il/anderson-point/CPx9/
"2555 N Clark St | 2555 N Clark St, Chicago, IL",1 Bed,"$2,216",https://www.zillow.com/apartments/chicago-il/2555-n-clark-st/5XdJVC/
"5630 North Sheridan | 5630 N Sheridan Rd, Chicago, IL",Studio,"$1,150",https://www.zillow.com/apartments/chicago-il/5630-north-sheridan/5XfZrw/
"5630 North Sheridan | 5630 N Sheridan Rd, Chicago, IL",1 Bed,"$1,345",https://www.zillow.com/apartments/chicago-il/5630-north-sheridan/5XfZrw/
"FPS Management, 6011 N Winthrop Ave #2D-6031, Chicago, IL 60660",Studio,"$1,000",https://www.zillow.com/apartments/chicago-il/fps-management/D2KQ/
"55 W Chestnut | 55 W Chestnut St, Chicago, IL",1 Bed,"$1,829",https://www.zillow.com/apartments/chicago-il/55-w-chestnut/5Xf7Hd/
"330 S. Wells St | 330 S Wells St, Chicago, IL",Studio,"$1,960",https://www.zillow.com/apartments/chicago-il/330-s.-wells-st/9Rx2hT/
"330 S. Wells St | 330 S Wells St, Chicago, IL",1 Bed,"$1,932",https://www.zillow.com/apartments/chicago-il/330-s.-wells-st/9Rx2hT/
"The Thompson at Fulton Market | 150 N Ashland Ave, Chicago, IL",Studio,"$2,155",https://www.zillow.com/apartments/chicago-il/the-thompson-at-fulton-market/CHkQ9H/
"The Thompson at Fulton Market | 150 N Ashland Ave, Chicago, IL",1 Bed,"$2,375",https://www.zillow.com/apartments/chicago-il/the-thompson-at-fulton-market/CHkQ9H/
"The Thompson at Fulton Market | 150 N Ashland Ave, Chicago, IL",2 Bed,"$3,795",https://www.zillow.com/apartments/chicago-il/the-thompson-at-fulton-market/CHkQ9H/
"Optima Signature | 220 E Illinois St, Chicago, IL",Studio,"$2,270",https://www.zillow.com/apartments/chicago-il/optima-signature/65bFNB/
"Optima Signature | 220 E Illinois St, Chicago, IL",1 Bed,"$2,816",https://www.zillow.com/apartments/chicago-il/optima-signature/65bFNB/
"Optima Signature | 220 E Illinois St, Chicago, IL",2 Bed,"$4,104",https://www.zillow.com/apartments/chicago-il/optima-signature/65bFNB/
"3130 N Lake Shore Dr | 3130 N Lake Shore Dr, Chicago, IL",Studio,"$1,615",https://www.zillow.com/apartments/chicago-il/3130-n-lake-shore-dr/F86Z/
"3130 N Lake Shore Dr | 3130 N Lake Shore Dr, Chicago, IL",1 Bed,"$1,949",https://www.zillow.com/apartments/chicago-il/3130-n-lake-shore-dr/F86Z/
"3130 N Lake Shore Dr | 3130 N Lake Shore Dr, Chicago, IL",2 Bed,"$2,833",https://www.zillow.com/apartments/chicago-il/3130-n-lake-shore-dr/F86Z/
"Coeval | 51 E 14th St, Chicago, IL",Studio,"$1,940",https://www.zillow.com/apartments/chicago-il/coeval/9r2tm7/
"Coeval | 51 E 14th St, Chicago, IL",1 Bed,"$2,105",https://www.zillow.com/apartments/chicago-il/coeval/9r2tm7/
"Coeval | 51 E 14th St, Chicago, IL",2 Bed,"$4,630",https://www.zillow.com/apartments/chicago-il/coeval/9r2tm7/
"Coeval | 51 E 14th Pl, Chicago, IL",Studio,"$1,970",https://www.zillow.com/b/coeval-chicago-il-9RwwJd/
"Coeval | 51 E 14th Pl, Chicago, IL",1 Bed,"$2,365",https://www.zillow.com/b/coeval-chicago-il-9RwwJd/
"Coeval | 51 E 14th Pl, Chicago, IL",2 Bed,"$3,420",https://www.zillow.com/b/coeval-chicago-il-9RwwJd/
"7250 N. Western Ave. Apartments | 7250 N Western Ave, Chicago, IL",1 Bed,"$1,450",https://www.zillow.com/apartments/chicago-il/7250-n.-western-ave.-apartments/5XhR5P/
"7250 N. Western Ave. Apartments | 7250 N Western Ave, Chicago, IL",2 Bed,"$1,850",https://www.zillow.com/apartments/chicago-il/7250-n.-western-ave.-apartments/5XhR5P/
"2970 N Sheridan | 2970 N Sheridan Rd, Chicago, IL",Studio,"$1,128",https://www.zillow.com/apartments/chicago-il/2970-n-sheridan/5Xdjyg/
"515 W Barry | 515 W Barry Ave, Chicago, IL",Studio,"$1,339",https://www.zillow.com/apartments/chicago-il/515-w-barry/5XhfBW/
"515 W Barry | 515 W Barry Ave, Chicago, IL",1 Bed,"$1,572",https://www.zillow.com/apartments/chicago-il/515-w-barry/5XhfBW/
"Arcade Residences | 1135 W Sheridan Rd, Chicago, IL",1 Bed,"$1,881",https://www.zillow.com/apartments/chicago-il/arcade-residences/9S6kZ2/
"Arcade Residences | 1135 W Sheridan Rd, Chicago, IL",2 Bed,"$2,599",https://www.zillow.com/apartments/chicago-il/arcade-residences/9S6kZ2/
"City Club Apartments MDA | 63 E Lake St, Chicago, IL",Studio,"$1,525",https://www.zillow.com/apartments/chicago-il/city-club-apartments-mda/5XgBW6/
"City Club Apartments MDA | 63 E Lake St, Chicago, IL",1 Bed,"$1,845",https://www.zillow.com/apartments/chicago-il/city-club-apartments-mda/5XgBW6/
"City Club Apartments MDA | 63 E Lake St, Chicago, IL",2 Bed,"$2,575",https://www.zillow.com/apartments/chicago-il/city-club-apartments-mda/5XgBW6/
"Cornelia & Stratford | 535 W Cornelia Ave, Chicago, IL",Studio,"$1,256",https://www.zillow.com/apartments/chicago-il/cornelia-%26-stratford/Cr4s/
"Maeve on Ashland | 133 S Ashland Ave, Chicago, IL",1 Bed,"$2,275",https://www.zillow.com/apartments/chicago-il/maeve-on-ashland/9Rx5kx/
"Maeve on Ashland | 133 S Ashland Ave, Chicago, IL",2 Bed,"$2,995",https://www.zillow.com/apartments/chicago-il/maeve-on-ashland/9Rx5kx/
"The Gallery on Wells | 637 N Wells St, Chicago, IL",Studio,"$2,012",https://www.zillow.com/apartments/chicago-il/the-gallery-on-wells/B6hqMJ/
"The Gallery on Wells | 637 N Wells St, Chicago, IL",1 Bed,"$2,372",https://www.zillow.com/apartments/chicago-il/the-gallery-on-wells/B6hqMJ/
"The Gallery on Wells | 637 N Wells St, Chicago, IL",2 Bed,"$2,961",https://www.zillow.com/apartments/chicago-il/the-gallery-on-wells/B6hqMJ/
"5252 | 5252 S Cornell Ave, Chicago, IL",Studio,"$2,895",https://www.zillow.com/apartments/chicago-il/5252/BNLHmR/
"5252 | 5252 S Cornell Ave, Chicago, IL",1 Bed,"$2,600",https://www.zillow.com/apartments/chicago-il/5252/BNLHmR/
"5252 | 5252 S Cornell Ave, Chicago, IL",2 Bed,"$3,700",https://www.zillow.com/apartments/chicago-il/5252/BNLHmR/
"6454 N NW Highway, 6454 N Northwest Hwy, Chicago, IL 60631",1 Bed,"$4,995",https://www.zillow.com/apartments/chicago-il/6454-n-nw-highway/5fvqfd/
"727 West Madison | 727 W Madison St, Chicago, IL",Studio,"$2,120",https://www.zillow.com/apartments/chicago-il/727-west-madison/BCgw9T/
"727 West Madison | 727 W Madison St, Chicago, IL",1 Bed,"$2,790",https://www.zillow.com/apartments/chicago-il/727-west-madison/BCgw9T/
"727 West Madison | 727 W Madison St, Chicago, IL",2 Bed,"$4,075",https://www.zillow.com/apartments/chicago-il/727-west-madison/BCgw9T/
"Monroe Laflin Place | 104 S Laflin St, Chicago, IL",2 Bed,"$3,178",https://www.zillow.com/apartments/chicago-il/monroe-laflin-place/Bw6GS5/
"Portrait | 948 W Sunnyside Ave, Chicago, IL",Studio,"$1,642",https://www.zillow.com/apartments/chicago-il/portrait/CJbtLN/
"Portrait | 948 W Sunnyside Ave, Chicago, IL",2 Bed,"$3,156",https://www.zillow.com/apartments/chicago-il/portrait/CJbtLN/
"Monroe Aberdeen Place | 1050 W Monroe St, Chicago, IL",2 Bed,"$3,328",https://www.zillow.com/apartments/chicago-il/monroe-aberdeen-place/BG8kTP/
"1261 W Argyle, 1261 W Argyle St, Chicago, IL 60640",1 Bed,"$1,579",https://www.zillow.com/homedetails/1261-W-Argyle-St-80A050EEB-Chicago-IL-60640/2055055065_zpid/
"The Lofts at Gin Alley | 120 N Green St, Chicago, IL",Studio,"$2,399",https://www.zillow.com/apartments/chicago-il/the-lofts-at-gin-alley/DMyz/
"The Lofts at Gin Alley | 120 N Green St, Chicago, IL",1 Bed,"$2,700",https://www.zillow.com/apartments/chicago-il/the-lofts-at-gin-alley/DMyz/
"The Lofts at Gin Alley | 120 N Green St, Chicago, IL",2 Bed,"$3,806",https://www.zillow.com/apartments/chicago-il/the-lofts-at-gin-alley/DMyz/
"Hubbard 221 | 221 W Hubbard St, Chicago, IL",Studio,"$1,919",https://www.zillow.com/apartments/chicago-il/hubbard-221/9r3Qrd/
"Hubbard 221 | 221 W Hubbard St, Chicago, IL",1 Bed,"$2,520",https://www.zillow.com/apartments/chicago-il/hubbard-221/9r3Qrd/
"Hubbard 221 | 221 W Hubbard St, Chicago, IL",2 Bed,"$3,478",https://www.zillow.com/apartments/chicago-il/hubbard-221/9r3Qrd/
"455 West Wellington | 455 W Wellington Ave, Chicago, IL",Studio,"$1,383",https://www.zillow.com/apartments/chicago-il/455-west-wellington/5XhYKC/
"455 West Wellington | 455 W Wellington Ave, Chicago, IL",1 Bed,"$1,687",https://www.zillow.com/apartments/chicago-il/455-west-wellington/5XhYKC/
"River North Park Apartments and Townhomes | 320 W Illinois St, Chicago, IL",Studio,"$1,695",https://www.zillow.com/apartments/chicago-il/river-north-park-apartments-and-townhomes/5XjBK4/
"River North Park Apartments and Townhomes | 320 W Illinois St, Chicago, IL",1 Bed,"$2,105",https://www.zillow.com/apartments/chicago-il/river-north-park-apartments-and-townhomes/5XjBK4/
"River North Park Apartments and Townhomes | 320 W Illinois St, Chicago, IL",2 Bed,"$2,835",https://www.zillow.com/apartments/chicago-il/river-north-park-apartments-and-townhomes/5XjBK4/
"517 W. Oakdale, 517 W Oakdale Ave, Chicago, IL 60657",Studio,"$5,000",https://www.zillow.com/apartments/chicago-il/517-w.-oakdale/5XctKq/
"1100 North Dearborn | 1100 N Dearborn St, Chicago, IL",Studio,"$1,630",https://www.zillow.com/apartments/chicago-il/1100-north-dearborn/5XgyD4/
"1100 North Dearborn | 1100 N Dearborn St, Chicago, IL",1 Bed,"$1,950",https://www.zillow.com/apartments/chicago-il/1100-north-dearborn/5XgyD4/
"The Shelby | 2300 S Michigan Ave, Chicago, IL",1 Bed,"$2,012",https://www.zillow.com/apartments/chicago-il/the-shelby/5XkX2x/
"Old Franklin Building, 525 S Dearborn St APT 302, Chicago, IL 60605",Studio,"$1,595",https://www.zillow.com/apartments/chicago-il/old-franklin-building/5jQZTS/
"Arkadia West Loop | 765 W Adams St, Chicago, IL",Studio,"$1,846",https://www.zillow.com/apartments/chicago-il/arkadia-west-loop/BLV4/
"Arkadia West Loop | 765 W Adams St, Chicago, IL",1 Bed,"$2,080",https://www.zillow.com/apartments/chicago-il/arkadia-west-loop/BLV4/
"Arkadia West Loop | 765 W Adams St, Chicago, IL",2 Bed,"$3,235",https://www.zillow.com/apartments/chicago-il/arkadia-west-loop/BLV4/
"Cortland Flats | 3043 W Cortland St, Chicago, IL",2 Bed,"$2,300",https://www.zillow.com/apartments/chicago-il/cortland-flats/9y2Z/
"Flair Tower | 222 W Erie St, Chicago, IL",1 Bed,"$2,065",https://www.zillow.com/apartments/chicago-il/flair-tower/5XjBzC/
"Flair Tower | 222 W Erie St, Chicago, IL",2 Bed,"$3,430",https://www.zillow.com/apartments/chicago-il/flair-tower/5XjBzC/
"The Wilson Club, 1124 W Wilson Ave, Chicago, IL 60640",Studio,"$1,275",https://www.zillow.com/apartments/chicago-il/the-wilson-club/9S4PCX/
"6200 North Hoyne Ave | 6200 N Hoyne Ave, Chicago, IL",Studio,"$1,050",https://www.zillow.com/apartments/chicago-il/6200-north-hoyne-ave/5Xf9R9/
"6200 North Hoyne Ave | 6200 N Hoyne Ave, Chicago, IL",1 Bed,"$1,350",https://www.zillow.com/apartments/chicago-il/6200-north-hoyne-ave/5Xf9R9/
"6200 North Hoyne Ave | 6200 N Hoyne Ave, Chicago, IL",2 Bed,"$1,550",https://www.zillow.com/apartments/chicago-il/6200-north-hoyne-ave/5Xf9R9/
"Winthrop Suites Apartments, 5633 N Winthrop Ave APT 405, Chicago, IL 60660",1 Bed,"$1,295",https://www.zillow.com/apartments/chicago-il/winthrop-suites-apartments/5XfXhV/
"The Blackwood | 5200 S Blackstone Ave, Chicago, IL",1 Bed,"$1,545",https://www.zillow.com/apartments/chicago-il/the-blackwood/5XjVRy/
"The Blackwood | 5200 S Blackstone Ave, Chicago, IL",2 Bed,"$1,750",https://www.zillow.com/apartments/chicago-il/the-blackwood/5XjVRy/
"9300 S Bishop St Apartments, 9300 S Bishop St, Chicago, IL 60620",2 Bed,"$1,300",https://www.zillow.com/apartments/chicago-il/9300-s-bishop-st-apartments/5Xh4fv/
"5536 Sheridan, 5536 N Sheridan Rd #505, Chicago, IL 60640",Studio,"$1,413",https://www.zillow.com/apartments/chicago-il/5536-sheridan/9S4Xwk/
"Circa 922 | 922 W Washington Blvd, Chicago, IL",Studio,"$2,189",https://www.zillow.com/apartments/chicago-il/circa-922/63D84S/
"Circa 922 | 922 W Washington Blvd, Chicago, IL",1 Bed,"$2,515",https://www.zillow.com/apartments/chicago-il/circa-922/63D84S/
"Circa 922 | 922 W Washington Blvd, Chicago, IL",2 Bed,"$3,417",https://www.zillow.com/apartments/chicago-il/circa-922/63D84S/
"6825 N. Sheridan Rd | 6825 N Sheridan Rd, Chicago, IL",Studio,"$1,075",https://www.zillow.com/apartments/chicago-il/6825-n.-sheridan-rd/5XcTP9/
"6825 N. Sheridan Rd | 6825 N Sheridan Rd, Chicago, IL",1 Bed,"$1,250",https://www.zillow.com/apartments/chicago-il/6825-n.-sheridan-rd/5XcTP9/
"NEXT Apartments | 347 W Chestnut St, Chicago, IL",Studio,"$2,066",https://www.zillow.com/apartments/chicago-il/next-apartments/65gycw/
"NEXT Apartments | 347 W Chestnut St, Chicago, IL",1 Bed,"$2,422",https://www.zillow.com/apartments/chicago-il/next-apartments/65gycw/
"NEXT Apartments | 347 W Chestnut St, Chicago, IL",2 Bed,"$3,287",https://www.zillow.com/apartments/chicago-il/next-apartments/65gycw/
"73 East Lake | 73 E Lake St, Chicago, IL",Studio,"$2,771",https://www.zillow.com/apartments/chicago-il/73-east-lake/5Xg9yq/
"73 East Lake | 73 E Lake St, Chicago, IL",1 Bed,"$3,053",https://www.zillow.com/apartments/chicago-il/73-east-lake/5Xg9yq/
"73 East Lake | 73 E Lake St, Chicago, IL",2 Bed,"$3,951",https://www.zillow.com/apartments/chicago-il/73-east-lake/5Xg9yq/
"73 East Lake | 73 E Lake St, Chicago, IL",Studio,"$2,751",https://www.zillow.com/b/73-east-lake-chicago-il-9jVbTQ/
"73 East Lake | 73 E Lake St, Chicago, IL",1 Bed,"$2,993",https://www.zillow.com/b/73-east-lake-chicago-il-9jVbTQ/
"73 East Lake | 73 E Lake St, Chicago, IL",2 Bed,"$3,671",https://www.zillow.com/b/73-east-lake-chicago-il-9jVbTQ/
"The Fleetwood, 6026 N Winthrop Ave APT 6A, Chicago, IL 60660",1 Bed,"$1,595",https://www.zillow.com/b/the-fleetwood-chicago-il-Cc5k69/
"The Fleetwood | 6026 N Winthrop Ave, Chicago, IL",Studio,"$1,295",https://www.zillow.com/apartments/chicago-il/the-fleetwood/5XfKDr/
"The Fleetwood | 6026 N Winthrop Ave, Chicago, IL",2 Bed,"$1,995",https://www.zillow.com/apartments/chicago-il/the-fleetwood/5XfKDr/
"426 W. Surf, 426 W Surf St, Chicago, IL 60657",1 Bed,"$1,545",https://www.zillow.com/apartments/chicago-il/426-w.-surf/5XfTvR/
"2536 Sawyer LLC, 2536 N Sawyer Ave APT 409, Chicago, IL 60647",1 Bed,"$1,350",https://www.zillow.com/apartments/chicago-il/2536-sawyer-llc/9hJghC/
"2950 North Sheridan | 2950 N Sheridan Rd, Chicago, IL",2 Bed,"$4,470",https://www.zillow.com/apartments/chicago-il/2950-north-sheridan/B677wB/
"318 W. Grand Ave., 318 W Grand Ave #204, Chicago, IL 60654",2 Bed,"$3,552",https://www.zillow.com/apartments/chicago-il/318-w.-grand-ave./CPK3/
"5222-38 S. Drexel Avenue | 5222 S Drexel Ave, Chicago, IL",2 Bed,"$1,695",https://www.zillow.com/apartments/chicago-il/5222.dash.38-s.-drexel-avenue/5Xh7Gq/
"2779 Milwaukee LLC, 2779 N Milwaukee Ave #135, Chicago, IL 60647",Studio,"$1,050",https://www.zillow.com/apartments/chicago-il/2779-milwaukee-llc/CPkC/
